gross_delta,delta,iota,kappa,lambda,sigmah,sigmal,mu_b,m,c,p,vb,debt_diff,eq_min_val,eq_vb,abs_debt_diff,debt_per_diff,abs_debt_per_diff,debt,equity,firm_value,leverage,ROE,V0,r,alpha,pi,xi
0.02,0.0185,0.0015,0.005,NaN,NaN,0.2,1.0,10.0,0.25,2.938763826382638,22.99110516515736,0.0002856656570884297,4.707345624410664e-14,4.707345624410664e-14,0.0002856656570884297,9.720606144797258e-6,9.720606144797258e-6,29.38792392948347,69.59471118143068,98.98263511091415,29.689979355018263,-1.440780310820866,100.0,0.08,0.6,0.27,1.0
0.02,0.0185,0.0015,0.005,NaN,NaN,0.2,1.0,10.0,0.5,5.676357585758576,44.725445764908464,-0.00069145272875204,9.681144774731365e-14,9.681144774731365e-14,0.00069145272875204,-1.2181275021975836e-5,1.2181275021975836e-5,56.76288440485701,47.00996329412593,103.77284769898294,54.69916809983941,8.725946786808247,100.0,0.08,0.6,0.27,1.0
0.02,0.0185,0.0015,0.005,NaN,NaN,0.2,1.0,10.0,1.0,8.412491199119913,71.08250622354869,0.00012830607154512563,2.0961010704922955e-13,2.0961010704922955e-13,0.00012830607154512563,1.525185209805017e-6,1.525185209805017e-6,84.12504029727067,19.514362101652235,103.63940239892291,81.1709044533674,22.925427636186058,100.0,0.08,0.6,0.27,1.0
0.02,0.0185,0.0015,0.005,NaN,NaN,0.2,1.0,10.0,1.5,8.863576307630764,83.16424215771586,0.003203367575849825,3.588240815588506e-13,3.588240815588506e-13,0.003203367575849825,3.614080213978646e-5,3.614080213978646e-5,88.63896644388349,8.680357840097233,97.31932428398072,91.08054037164533,-23.59535074672906,100.0,0.08,0.6,0.27,1.0
0.02,0.0185,0.0015,0.005,NaN,NaN,0.2,1.0,10.0,2.0,8.497259675967596,90.13944530578073,0.019944558418686142,5.080380560684716e-13,5.080380560684716e-13,0.019944558418686142,0.0002347175345846427,0.0002347175345846427,84.99254131809465,3.6648420898912875,88.65738340798595,95.86628665429214,-75.57986220338539,100.0,0.08,0.6,0.27,1.0
0.02,0.0185,0.0015,0.005,NaN,NaN,0.2,1.0,10.0,2.5,7.754805430543055,94.76481365125531,0.004617544992655098,6.572520305780927e-13,6.572520305780927e-13,0.004617544992655098,5.954430493469827e-5,5.954430493469827e-5,77.55267185042321,1.2253274869864157,78.77799933740963,98.44458161251559,-94.54132144894261,100.0,0.08,0.6,0.27,1.0
0.02,0.0185,0.0015,0.005,NaN,NaN,0.2,1.0,10.0,3.0,6.8003099809981,98.06550245712556,0.04803913323780762,8.029132914089132e-13,8.029132914089132e-13,0.04803913323780762,0.0007064256390082499,0.0007064256390082499,68.0511389432188,0.19350111035313233,68.24464005357194,99.71645962202858,-99.39434113156888,100.0,0.08,0.6,0.27,1.0
0.02,0.0185,0.0015,0.005,NaN,NaN,0.2,1.0,10.0,3.5,5.719221872187219,100.57533221138223,-0.048825618111223434,9.734435479913373e-13,9.734435479913373e-13,0.048825618111223434,-0.0008537108579169514,0.0008537108579169514,57.143393103760964,0.01943771764320701,57.16283082140417,99.96599587990326,-99.95464475829768,100.0,0.08,0.6,0.27,1.0
0.02,0.0185,0.0015,0.005,NaN,NaN,0.2,1.0,10.0,4.0,4.545704520452045,102.507731142838,0.052237852262443596,1.0942358130705543e-12,1.0942358130705543e-12,0.052237852262443596,0.0011491695517694765,0.0011491695517694765,45.50928305678289,0.4133020203891533,45.922585077172045,99.10000271174934,-99.24151847585371,100.0,0.08,0.6,0.27,1.0
0.02,0.0185,0.0015,0.005,NaN,NaN,0.2,1.0,10.0,4.5,3.311661116111611,104.06200722863372,0.025708435718890144,1.2718714970105793e-12,1.2718714970105793e-12,0.025708435718890144,0.0007763003162918952,0.0007763003162918952,33.142319596835,1.1999759506006384,34.34229554743564,96.50583651595696,-98.20517860720781,100.0,0.08,0.6,0.27,1.0
0.02,0.0185,0.0015,0.005,NaN,NaN,0.2,1.0,10.0,5.0,2.028612811281128,105.31013626490291,0.13273594692341106,1.4352963262354024e-12,1.4352963262354024e-12,0.13273594692341106,0.006543187846653913,0.006543187846653913,20.41886405973469,2.2475783895542136,22.666442449288905,90.08411489988927,-97.17573974912688,100.0,0.08,0.6,0.27,1.0
0.02,0.0185,0.0015,0.005,NaN,NaN,0.2,1.0,10.0,5.5,0.7123211821182118,106.35058513941165,0.1379913354086506,1.5702994460298214e-12,1.5702994460298214e-12,0.1379913354086506,0.019372066825011323,0.019372066825011323,7.261203156590769,3.4962455995650714,10.75744875615584,67.4993050971832,-96.23000759275696,100.0,0.08,0.6,0.27,1.0
0.02,0.0185,0.0015,0.005,NaN,NaN,0.2,1.0,10.0,6.0,0.5005,114.29096372035117,-99.8264454800495,1.7621459846850485e-12,1.7621459846850485e-12,99.8264454800495,-19.945343752257646,19.945343752257646,-94.8214454800495,20.855040392522547,-73.96640508752697,128.19528726297304,-89.29530558551461,100.0,0.08,0.6,0.27,1.0
0.02,0.0185,0.0015,0.005,NaN,NaN,0.2,1.0,10.0,6.5,0.5005,123.55464730312158,-279.5091522314269,1.8758328224066645e-12,1.8758328224066645e-12,279.5091522314269,-55.84598446182357,55.84598446182357,-274.50415223142693,67.27897693785138,-207.22517529357555,132.4666039454605,-82.03518531450729,100.0,0.08,0.6,0.27,1.0
0.02,0.0185,0.0015,0.005,NaN,NaN,0.2,1.0,10.0,7.0,0.5005,132.81833088589207,-541.4968837648966,1.9753088054130785e-12,1.9753088054130785e-12,541.4968837648966,-108.19118556741192,108.19118556741192,-536.4918837648966,153.85029640068817,-382.64158736420836,140.2074164129602,-75.8283961940485,100.0,0.08,0.6,0.27,1.0
0.02,0.0185,0.0015,0.005,NaN,NaN,0.2,1.0,10.0,7.5,0.5005,142.08201446866244,-904.5386179073934,2.1600499167107046e-12,2.1600499167107046e-12,904.5386179073934,-180.7269965848938,180.7269965848938,-899.5336179073934,295.71883090630797,-603.8147870010854,148.97508926123342,-70.41431867740278,100.0,0.08,0.6,0.27,1.0
0.02,0.0185,0.0015,0.005,NaN,NaN,0.2,1.0,10.0,8.0,0.5005,151.34569805143286,-1389.1640370105372,2.3021584638627246e-12,2.3021584638627246e-12,1389.1640370105372,-277.55525214995754,277.55525214995754,-1384.159037010537,510.9662436157573,-873.1927933947798,158.51700191308657,-65.57200199751034,100.0,0.08,0.6,0.27,1.0
