comb_num,m,m_comb_num,gross_delta,delta,iota,kappa,lambda,sigmah,sigmal,mu_b,c,p,vb,cvml_vb,cvmh_vb,debt_diff,eq_deriv,eq_min_val,sg_debt,debt,sg_equity,equity,firm_value,leverage,ROE,V0,r,alpha,pi,xi,abs_debt_diff,debt_per_diff,abs_debt_per_diff,eq_vb
1,1.0,1,0.02,0.02,0.0,0.0025,NaN,NaN,0.15,1.0,4.653090309030903,56.39566933936072,59.81908166752027,NaN,NaN,-0.00024286714308630053,NaN,NaN,56.39562688795615,56.395426472217636,55.42007038947049,55.41961358518024,111.81504005739788,50.436351356014576,27.09587344059219,100.0,0.08,0.6,0.27,1.0,0.00024286714308630053,-4.306485691744315e-6,4.306485691744315e-6,4.618527782440651e-13
6,1.0,2,0.02,0.02,0.0,0.005,NaN,NaN,0.15,1.0,4.687393739373937,55.13822623453277,59.10510123048545,NaN,NaN,5.407642731825035e-6,NaN,NaN,55.13831472306666,55.138231642175505,55.34735312400098,55.34578994548531,110.4840215876608,49.906068633125784,23.3696128606403,100.0,0.08,0.6,0.27,1.0,5.407642731825035e-6,9.80742962028448e-8,9.80742962028448e-8,-5.400124791776761e-13
11,1.0,3,0.02,0.02,0.0,0.01,NaN,NaN,0.15,1.0,4.714346434643464,52.37772725235271,57.325180650136915,NaN,NaN,6.09177714139264e-5,NaN,NaN,52.377743282924854,52.37778817012413,55.5614852622793,55.56021812763145,107.93800629775558,48.52580658719583,16.66870561601186,100.0,0.08,0.6,0.27,1.0,6.09177714139264e-5,1.1630472456437117e-6,1.1630472456437117e-6,3.197442310920451e-14
16,1.0,4,0.02,0.02,0.0,0.015000000000000001,NaN,NaN,0.15,1.0,4.672692269226923,49.18499517197886,54.93942530339998,NaN,NaN,3.201338419245303e-5,NaN,NaN,49.1850057061273,49.185027185363055,56.37221681270668,56.372189055309434,105.55721624067249,46.595608464342455,10.93617871438035,100.0,0.08,0.6,0.27,1.0,3.201338419245303e-5,6.508770424906201e-7,6.508770424906201e-7,2.1316282072803006e-13
21,1.0,5,0.02,0.01995,5.0e-5,0.0025,NaN,NaN,0.15,1.0,4.648189818981898,56.33750676526599,59.84568697040596,NaN,NaN,-0.00029697201187417477,NaN,NaN,56.33741236275002,56.33720979325412,55.216666679303174,55.216458877446556,111.55366867070067,50.50233709440608,26.461132273025555,100.0,0.08,0.6,0.27,1.0,0.00029697201187417477,-5.271301996226574e-6,5.271301996226574e-6,1.1119993814645568e-12
26,1.0,6,0.02,0.0199,0.0001,0.005,NaN,NaN,0.15,1.0,4.677592759275927,55.02459231133662,59.157849995415155,NaN,NaN,-6.973560118694877e-5,NaN,NaN,55.02461676126998,55.02452257573543,54.941201518227956,54.939916143134944,109.96443871887038,50.038469906083364,22.155270581951612,100.0,0.08,0.6,0.27,1.0,6.973560118694877e-5,-1.267353346161572e-6,1.267353346161572e-6,-3.907985046680551e-13
31,1.0,7,0.02,0.0199,0.0001,0.01,NaN,NaN,0.15,1.0,4.705770577057706,52.283124055333914,57.39100847398602,NaN,NaN,2.7872544130502774e-5,NaN,NaN,52.28311068825007,52.283151927878045,55.142127565185085,55.14088850036819,107.42404042824623,48.669880335398965,15.558530641053903,100.0,0.08,0.6,0.27,1.0,2.7872544130502774e-5,5.331078552422352e-7,5.331078552422352e-7,3.268496584496461e-13
36,1.0,8,0.02,0.0199,0.0001,0.015000000000000001,NaN,NaN,0.15,1.0,4.6653415341534155,49.10767174848716,55.015452545754954,NaN,NaN,2.8615898152395403e-5,NaN,NaN,49.10767895588316,49.10770036438531,55.940489805153696,55.94043112456755,105.04813148895286,46.74780947393587,9.91924421788195,100.0,0.08,0.6,0.27,1.0,2.8615898152395403e-5,5.827174682391038e-7,5.827174682391038e-7,7.460698725481052e-14
41,1.0,9,0.02,0.01995,5.0e-5,0.0025,NaN,NaN,0.15,1.0,4.648189818981898,56.33750676526599,59.84568697040596,NaN,NaN,-0.00029697201187417477,NaN,NaN,56.33741236275002,56.33720979325412,55.216666679303174,55.216458877446556,111.55366867070067,50.50233709440608,26.461132273025555,100.0,0.08,0.6,0.27,1.0,0.00029697201187417477,-5.271301996226574e-6,5.271301996226574e-6,1.1119993814645568e-12
46,1.0,10,0.02,0.0199,0.0001,0.005,NaN,NaN,0.15,1.0,4.677592759275927,55.02459231133662,59.157849995415155,NaN,NaN,-6.973560118694877e-5,NaN,NaN,55.02461676126998,55.02452257573543,54.941201518227956,54.939916143134944,109.96443871887038,50.038469906083364,22.155270581951612,100.0,0.08,0.6,0.27,1.0,6.973560118694877e-5,-1.267353346161572e-6,1.267353346161572e-6,-3.907985046680551e-13
