gross_delta,delta,iota,kappa,lambda,sigmah,sigmal,mu_b,m,c,p,opt_vb,cvml_vb,cvmh_vb,debt_diff,debt_per_diff,eq_deriv,eq_min_val,debt,equity,firm_value,leverage,ROE,p_filter_success,V0,r,alpha,pi,xi
0.02,0.02,0.0,0.0025,0.2,0.2,0.15,1.0,1.0,0.5,6.060614674553586,6.607746108186946,6.428561707235251,6.525248230957126,-3.457862520761523e-7,-5.705465050071383e-8,9.57046077355616e-16,0.002563706889854505,6.0606143287673335,95.43713834109462,101.49775266986195,5.971180808781524,1.5943820147001686,true,100.0,0.08,0.6,0.27,1.0
0.02,0.02,0.0,0.0025,0.2,0.2,0.15,1.0,1.0,1.0,12.121205609114218,13.214537295986084,12.857096357567448,13.050469618187787,2.614124738897772e-7,2.1566540682489127e-8,2.1316519077346407e-16,0.0064608434881184874,12.121205870526692,90.86805438675289,102.98926025727958,11.769388225768841,3.4015717749556806,true,100.0,0.08,0.6,0.27,1.0
0.02,0.02,0.0,0.0025,0.2,0.2,0.15,1.0,1.0,1.5,18.181813649819667,19.82110864715619,19.285650504084956,19.575710347996736,1.82015771343913e-7,1.0010869919223834e-8,-1.4103212988810613e-15,0.007765354615753449,18.181813831835438,86.27298541631384,104.45479924814929,17.406393926086245,5.444754347148617,true,100.0,0.08,0.6,0.27,1.0
0.02,0.02,0.0,0.0025,0.2,0.2,0.15,1.0,1.0,2.0,24.242048396015726,26.427134849262764,25.713779200040157,26.100528979293667,-2.706332153934454e-7,-1.1163793214682512e-8,-5.618906165565013e-17,0.008938757117015715,24.24204812538251,81.6063310725662,105.84837919794872,22.902616279127976,7.719822214343952,true,100.0,0.08,0.6,0.27,1.0
0.02,0.02,0.0,0.0025,0.2,0.2,0.15,1.0,1.0,2.5,30.05059476905821,32.74214549108422,31.855054065599113,32.34075385116372,1.1880522876595023e-7,3.953506733526579e-9,3.2923917628378805e-16,0.010842791009023852,30.05059488786344,77.02273155432485,107.07332644218829,28.065435049399113,10.11206089722847,true,100.0,0.08,0.6,0.27,1.0
0.02,0.02,0.0,0.0025,0.2,0.2,0.15,1.0,1.0,3.0,34.92438717555966,37.97922502024217,36.9309727829153,37.52401632884808,-0.0022823202712913826,-6.535033126904993e-5,-4.041905699025961e-16,0.012678426748152232,34.92210485528837,73.21951332534276,108.14161818063113,32.29293720846425,12.510573924566671,true,100.0,0.08,0.6,0.27,1.0
0.02,0.02,0.0,0.0025,0.2,0.2,0.15,1.0,1.0,3.5,42.27021949641385,46.0683600840771,44.82432048767147,45.50250976561086,-5.2970264619034424e-8,-1.2531343638640993e-9,7.315070500167142e-16,0.015234588461953497,42.27021944344359,66.60120880351131,108.8714282469549,38.82581511428447,15.367160868148089,true,100.0,0.08,0.6,0.27,1.0
0.02,0.02,0.0,0.0025,0.2,0.2,0.15,1.0,1.0,4.0,48.479170605497956,52.84594229910388,51.421943935420416,52.1954877293088,8.079849678210849e-7,1.6666641729416312e-8,-5.801785477310484e-16,0.01728578397361588,48.47917141348292,60.75694653837647,109.2361179518594,44.38016685547888,17.926959261436394,true,100.0,0.08,0.6,0.27,1.0
0.02,0.02,0.0,0.0025,0.2,0.2,0.15,1.0,1.0,4.5,54.550750079550106,59.46523273128015,57.86300242467337,58.73313428233207,7.941223856278157e-8,1.4557497091603052e-9,4.564523756300341e-16,0.01950548628734325,54.550750158962344,54.381795011368496,108.93254517033084,50.077550353445645,19.653889121543532,true,100.0,0.08,0.6,0.27,1.0
0.02,0.02,0.0,0.0025,0.2,0.2,0.15,1.0,1.0,5.0,60.613727556785925,66.07530585658117,64.2942570612298,65.26105422549304,9.349200240649225e-7,1.5424229159789642e-8,-6.821097010579076e-16,-0.010306795608020444,60.61372849170595,47.02867609545249,107.64240458715844,56.310269845957215,19.403726970066426,true,100.0,0.08,0.6,0.27,1.0
0.02,0.02,0.0,0.0025,0.2,0.2,0.15,1.0,1.0,5.5,64.90302440733441,70.63845914275075,68.70401553056192,69.7834050148355,-2.488627117713804e-6,-3.834377735766309e-8,6.209612141789744e-16,-0.0020105805013094615,64.9030219187073,41.35327461982864,106.25629653853593,61.0815773116739,17.82574136167765,true,100.0,0.08,0.6,0.27,1.0
0.02,0.02,0.0,0.0025,0.2,0.2,0.15,1.0,1.0,6.0,67.44814979975351,73.18900473250964,71.12590997040654,72.33355380638747,2.2488178785806667e-6,3.334143168133109e-8,7.246395247592429e-16,-0.0032223544361403493,67.44815204857139,38.086490969578755,105.53464301815015,63.91091126064781,17.002546296015254,true,100.0,0.08,0.6,0.27,1.0
0.02,0.02,0.0,0.0025,0.2,0.2,0.15,1.0,1.0,6.5,69.40341995608122,75.05957435406492,72.87553563703749,74.21673051236579,7.790202218416198e-6,1.1224522110503879e-7,6.170870366381023e-16,0.015366764187667765,69.40342774628344,35.63538955972445,105.0388173060079,66.07407578104345,16.468567995867023,true,100.0,0.08,0.6,0.27,1.0
0.02,0.02,0.0,0.0025,0.2,0.2,0.15,1.0,1.0,7.0,70.9933562422854,76.50878235592731,74.2087836271578,75.68681010844709,1.5913257456645624e-5,2.2415136146454354e-7,9.54148813918984e-16,-0.004121038851557786,70.99337215554286,33.71799631160354,104.7113684671464,67.79910643400416,16.242386024360613,true,100.0,0.08,0.6,0.27,1.0
0.02,0.02,0.0,0.0025,0.2,0.2,0.15,1.0,1.0,7.5,72.331219886251,77.6674004221385,75.25473982839556,76.87186143721318,1.5276522049134655e-5,2.1120232830524228e-7,9.526586050045422e-17,-0.006726793789304567,72.33123516277305,32.188436820073385,104.51967198284643,69.20346552048491,16.33492499370788,true,100.0,0.08,0.6,0.27,1.0
0.02,0.02,0.0,0.0025,0.2,0.2,0.15,1.0,1.0,8.0,73.4881035052659,78.61766128229466,76.09442979360563,77.85227166541297,2.8311372943790047e-6,3.852511031497956e-8,3.233850084296585e-16,0.006528719905169879,73.48810633640319,30.9469262207274,104.4350325571306,70.36729394056724,16.72846388645668,true,100.0,0.08,0.6,0.27,1.0
0.02,0.02,0.0,0.0025,0.2,0.2,0.15,1.0,1.0,8.5,74.51450214997199,79.41844521777337,76.78540365317818,78.68513749606284,6.223868879828842e-6,8.352560508694457e-8,5.617948843961375e-16,0.014886090901315475,74.51450837384087,29.914871500517652,104.42937987435852,71.353969987652,17.380005609984252,true,100.0,0.08,0.6,0.27,1.0
0.02,0.02,0.0,0.0025,0.2,0.2,0.15,1.0,1.0,9.0,75.44519267460427,80.0615353259428,77.36729722231382,79.40978246073387,-4.3337753467653783e-5,-5.744269705104985e-7,-5.091298795284464e-16,0.006957940922960055,75.4451493368508,29.046493320017746,104.49164265686855,72.2020894863323,18.292282524891924,true,100.0,0.08,0.6,0.27,1.0
0.02,0.02,0.0,0.0025,0.2,0.2,0.15,1.0,1.0,9.5,77.13069953820009,75.83796398943275,78.80946874296704,80.98792739797372,-9.042023560823509e-5,-1.1722989179354346e-6,1.4606128203364736e-15,-0.004994405411520028,77.13060911796448,28.767156012200743,105.89776513016523,72.83497345119481,25.788903432483057,true,100.0,0.08,0.6,0.27,1.0
0.02,0.02,0.0,0.0025,0.2,0.2,0.15,1.0,1.0,10.0,77.08433877365445,81.23231137228339,78.27779913362696,80.60778275295405,-5.671327713230312e-6,-7.357302149121675e-8,-2.747560080929472e-16,-0.00213059743631055,77.08433310232674,27.65919592408985,104.74352902641658,73.59340841273917,20.69993881303198,true,100.0,0.08,0.6,0.27,1.0
0.02,0.02,0.0,0.0025,0.2,0.2,0.15,1.0,1.0,10.5,78.4874434257894,82.17848545207137,79.39811170205718,81.8666046081496,-5.831046236437487e-5,-7.429272737047162e-7,-1.5431682373433805e-15,-0.010061154131767388,78.48738511532703,25.753782030987203,104.24116714631424,75.29403906727285,19.71479138659209,true,100.0,0.08,0.6,0.27,1.0
0.02,0.02,0.0,0.0025,0.2,0.2,0.15,1.0,1.0,11.0,78.54878503609464,82.15651536348108,78.98919245413285,81.60824319599827,-1.9389780774758947e-5,-2.468501679032843e-7,-2.0422856516910075e-16,0.007062129911318766,78.54876564631387,26.54980733937535,105.09857298568922,74.73818474872108,23.76820327270859,true,100.0,0.08,0.6,0.27,1.0
