gross_delta,delta,iota,kappa,lambda,sigmah,sigmal,mu_b,m,c,p,vb,debt_diff,eq_deriv,eq_deriv_min_val,eq_min_val,eq_negative,eq_vb,abs_debt_diff,debt_per_diff,abs_debt_per_diff,debt,equity,firm_value,leverage,ROE,V0,r,alpha,pi,xi
0.02,0.02,0.0,0.005,0.1,0.35,0.15,1.0,1.0,5.5,55.580737021070526,42.129127867561216,0.3235985986739962,-4.55246840192951,-4.55246840192951,-7.149765513922589,true,0.0,0.3235985986739962,0.005822135797719285,0.005822135797719285,55.90433561974452,49.828174679123556,105.73251029886808,52.87336455147326,13.000167656924798,100.0,0.08,0.6,0.27,1.0
0.02,0.02,0.0,0.005,0.1,0.35,0.15,1.0,1.0,5.5,55.580737021070526,45.79895060897479,0.35561706384169867,-3.774065119040051,-3.774065119040051,-5.940117037287854,true,0.0,0.35561706384169867,0.006398207057004031,0.006398207057004031,55.936354084912224,49.844966459075636,105.78132054398786,52.879235953243544,13.120386259295636,100.0,0.08,0.6,0.27,1.0
0.02,0.02,0.0,0.005,0.1,0.35,0.15,1.0,1.0,5.5,55.580737021070526,49.468773350388375,0.3770682177555713,-2.940726926960628,-2.940726926960628,-4.397504150666043,true,0.0,0.3770682177555713,0.006784152891182887,0.006784152891182887,55.9578052388261,49.84451577564943,105.80232101447552,52.88901481770909,13.17445927919707,100.0,0.08,0.6,0.27,1.0
0.02,0.02,0.0,0.005,0.1,0.35,0.15,1.0,1.0,5.5,55.580737021070526,53.13859609180196,0.3770972453786854,-2.109552768386165,-2.109552768386165,-2.7390571924289886,true,0.0,0.3770972453786854,0.006784675151675817,0.006784675151675817,55.95783426644921,49.72084815037324,105.67868241682245,52.95091969990493,12.893740174308688,100.0,0.08,0.6,0.27,1.0
0.02,0.02,0.0,0.005,0.1,0.35,0.15,1.0,1.0,5.5,55.580737021070526,56.80841883321553,0.3770972453786854,-1.2512527095861148,-1.2512527095861148,-1.181400962575206,true,0.0,0.3770972453786854,0.006784675151675817,0.006784675151675817,55.95783426644921,49.488005581675054,105.44583984812427,53.067844447013165,12.365059159603708,100.0,0.08,0.6,0.27,1.0
0.02,0.02,0.0,0.005,0.1,0.35,0.15,1.0,1.0,5.5,55.580737021070526,60.47824157462911,0.3770972453786854,-0.4160875835581025,-0.4160875835581025,-0.16206061531781396,true,0.0,0.3770972453786854,0.006784675151675817,0.006784675151675817,55.95783426644921,49.1241173157672,105.08195158221642,53.251613073314154,11.538832156805224,100.0,0.08,0.6,0.27,1.0
0.02,0.02,0.0,0.005,0.1,0.35,0.15,1.0,1.0,5.5,55.580737021070526,64.14806431604269,0.3770972453786854,0.34124412614692295,0.34124412614692295,0.046409019620431216,false,0.0,0.3770972453786854,0.006784675151675817,0.006784675151675817,55.95783426644921,48.57118170873145,104.52901597518067,53.53330244660087,10.283363453515438,100.0,0.08,0.6,0.27,1.0
0.02,0.02,0.0,0.005,0.1,0.35,0.15,1.0,1.0,5.5,55.580737021070526,67.81788705745628,0.36835897547936725,1.0129023273449198,1.0014934402017328,0.13537112247955077,false,0.0,0.36835897547936725,0.006627457554938921,0.006627457554938921,55.94909599654989,47.749775881180675,103.69887187773057,53.95342782756445,8.39681264529979,100.0,0.08,0.6,0.27,1.0
0.02,0.02,0.0,0.005,0.1,0.35,0.15,1.0,1.0,5.5,55.580737021070526,71.48770979886984,0.31094416689205673,1.615509807117559,1.0014934557438369,0.22112862349619838,false,0.0,0.31094416689205673,0.005594459223780687,0.005594459223780687,55.89168118796258,46.57621318045131,102.4678943684139,54.54555451974955,5.595076926260889,100.0,0.08,0.6,0.27,1.0
0.02,0.02,0.0,0.005,0.1,0.35,0.15,1.0,1.0,5.5,55.580737021070526,75.15753254028343,0.21389914954350076,2.158557863878578,1.0014934727398543,0.3038349535499123,false,0.0,0.21389914954350076,0.003848440323171895,0.003848440323171895,55.79463617061403,44.95533058041639,100.74996675103041,55.37930976046044,1.696551472633434,100.0,0.08,0.6,0.27,1.0
