gross_delta,delta,iota,kappa,lambda,sigmah,sigmal,mu_b,m,c,p,vb,debt_diff,eq_deriv,eq_deriv_min_val,eq_min_val,eq_negative,eq_vb,abs_debt_diff,debt_per_diff,abs_debt_per_diff,debt,equity,firm_value,leverage,ROE,V0,r,alpha,pi,xi,opt
0.02,0.02,0.0,0.003,0.2,0.2,0.15,1.0,7.0,7.0,8.636013601360137,91.21193104058273,63.84640686887596,-1.260221111361969,-1.260221111361969,-2.0702754411008404,true,0.0,63.84640686887596,1.056148784381925,1.056148784381925,124.29850207839692,0.6134590040938853,124.9119610824908,99.50888690019944,-102.52467827899274,100.0,0.08,0.6,0.27,1.0,false
0.02,0.02,0.0,0.003,0.2,0.2,0.15,1.0,7.0,7.0,8.910144961864608,91.21193104058273,62.98197251986536,-1.302595631280129,-1.302595631280129,-2.2003277203944323,true,0.0,62.98197251986536,1.009795540275046,1.009795540275046,125.35298725291761,0.35577751938524826,125.70876477230286,99.71698272588259,-101.4032962500082,100.0,0.08,0.6,0.27,1.0,false
0.02,0.02,0.0,0.003,0.2,0.2,0.15,1.0,7.0,7.0,9.18427632236908,91.21193104058273,62.6485502312222,-1.3380567851304108,-1.3380567851304108,-2.313798449940007,true,0.0,62.6485502312222,0.9744690355598975,0.9744690355598975,126.93848448780577,0.12362874295399812,127.06211323075976,99.90270211960865,-100.45892983701425,100.0,0.08,0.6,0.27,1.0,false
0.02,0.02,0.0,0.003,0.2,0.2,0.15,1.0,7.0,7.0,9.45840768287355,91.21193104058273,62.87814777784823,-1.3625562324564666,-1.3625562324564666,-2.3955509359119667,true,0.0,62.87814777784823,0.9496939485868736,0.9496939485868736,129.08700155796308,-0.053717914781663954,129.03328364318142,100.0416310530624,-99.81531986143494,100.0,0.08,0.6,0.27,1.0,false
0.02,0.02,0.0,0.003,0.2,0.2,0.15,1.0,7.0,7.0,9.613027540337463,91.3851900814084,61.705457778979834,-1.3712115009338854,-1.3712115009338854,-2.43280958008972,true,0.0,61.705457778979834,0.9178160016594151,0.9178160016594151,128.99665056134205,-0.31022034904409956,128.68643021229795,100.24106686970204,-98.93015109318287,100.0,0.08,0.6,0.27,1.0,false
0.02,0.02,0.0,0.003,0.2,0.2,0.15,1.0,7.0,7.0,9.732539043378022,91.21193104058273,63.70290030713558,-1.3758712560092556,-1.3758712560092556,-2.441314812407251,true,0.0,63.70290030713558,0.9350503798680038,0.9350503798680038,131.83067361078173,-0.1684046943096277,131.6622689164721,100.1279065716363,-99.47093581377246,100.0,0.08,0.6,0.27,1.0,false
0.02,0.02,0.0,0.003,0.2,0.2,0.15,1.0,7.0,7.0,10.006670403882493,89.59795715414813,78.9228582145524,-1.3763460758327928,-1.3763460758327928,-2.3717844224769626,true,0.0,78.9228582145524,1.1267178367617534,1.1267178367617534,148.96955104172986,1.5214858054082654,150.49103684713813,98.98898576467798,-103.10700378713238,100.0,0.08,0.6,0.27,1.0,false
0.02,0.02,0.0,0.003,0.2,0.2,0.15,1.0,7.0,7.0,10.280801764386965,89.67576517503653,77.49621621535992,-1.3502106220170014,-1.3502106220170014,-2.2837502064443527,true,0.0,77.49621621535992,1.0768506469131254,1.0768506469131254,149.46182856606868,1.5793690958138138,151.04119766188248,98.95434548966611,-103.19310697077076,100.0,0.08,0.6,0.27,1.0,false
0.02,0.02,0.0,0.003,0.2,0.2,0.15,1.0,7.0,7.0,10.554933124891436,89.75347731719265,80.00541924587543,-1.315641703240123,-1.315641703240123,-2.1675705908593157,true,0.0,80.00541924587543,1.0828439622795991,1.0828439622795991,153.88995112011548,1.7083763264286558,155.59832744654415,98.90205996782609,-103.17012038593401,100.0,0.08,0.6,0.27,1.0,false
0.02,0.02,0.0,0.003,0.2,0.2,0.15,1.0,7.0,7.0,10.829064485395907,89.83120246943277,82.69500974480546,-1.2740781276933693,-1.2740781276933693,-2.0301234142042186,true,0.0,82.69500974480546,1.0909135167325208,1.0909135167325208,158.49846114257682,1.8987075961359203,160.39716873871274,98.81624618996304,-103.2457393904914,100.0,0.08,0.6,0.27,1.0,false
0.02,0.02,0.0,0.003,0.2,0.2,0.15,1.0,7.0,7.0,11.103195845900379,89.9089448877013,85.32593644650495,-1.2306929958895774,-1.2306929958895774,-1.8900229567955924,true,0.0,85.32593644650495,1.0978298195882528,1.0978298195882528,163.0483073678076,2.1108735842699544,165.15918095207758,98.72191568636899,-103.34802577959097,100.0,0.08,0.6,0.27,1.0,false
0.02,0.02,0.0,0.003,0.2,0.2,0.15,1.0,7.0,7.0,11.377327206404852,89.98659511662792,87.74976488084555,-1.1760896599129416,-1.1760896599129416,-1.72104143232942,true,0.0,87.74976488084555,1.1018124441570694,1.1018124441570694,167.3910553256795,2.4138170270735184,169.80487235275302,98.57847599210284,-103.58180624328898,100.0,0.08,0.6,0.27,1.0,false
