comb_num,m,m_comb_num,gross_delta,delta,iota,kappa,lambda,sigmah,sigmal,mu_b,c,p,vb,cvml_vb,cvmh_vb,debt_diff,eq_deriv,eq_min_val,sg_debt,debt,sg_equity,equity,firm_value,leverage,ROE,V0,r,alpha,pi,xi,abs_debt_diff,debt_per_diff,abs_debt_per_diff,eq_deriv_min_val,eq_negative,eq_vb
1,1.0,1,0.02,0.02,0.0,0.001,0.1,0.2,0.15,1.0,4.233123312331233,52.20808519804447,56.2165087731783,55.02152963299572,55.91876867468372,0.002077935323356428,-0.00015183449299010016,0.0009949729932796714,52.20808443753434,52.21016313336783,58.407730496630606,58.402074169659684,110.61223730302751,47.20107323237264,22.20605467359775,100.0,0.08,0.6,0.27,1.0,0.002077935323356428,3.980102536750879e-5,3.980102536750879e-5,-0.00015183449299010016,false,0.0
2,1.0,2,0.02,0.02,0.0,0.0025,0.1,0.2,0.15,1.0,4.241524152415241,51.37781037968093,55.64076576105182,54.49427786925692,55.31478570437153,0.0013890780352525667,-0.00016731986750915647,0.0009839298747050266,51.3778101894665,51.37919945771618,58.516786103033404,58.51310025021651,109.8922997079327,46.75413982077883,20.34581824569035,100.0,0.08,0.6,0.27,1.0,0.0013890780352525667,2.7036536298205575e-5,2.7036536298205575e-5,-0.00016731986750915647,false,0.0
3,1.0,3,0.02,0.02,0.0,0.003,0.1,0.2,0.15,1.0,4.244674467446744,51.11029690773946,55.456591290030474,54.32575989860719,55.12132048037754,0.001225886841382362,-0.00016547790188477517,0.0009806380349694473,51.110296174733485,51.11152279458084,58.547425114593594,58.543890793764675,109.65541358834551,46.611034623841974,19.74987592224542,100.0,0.08,0.6,0.27,1.0,0.001225886841382362,2.3985124633402982e-5,2.3985124633402982e-5,-0.00016547790188477517,false,0.0
4,1.0,4,0.02,0.02,0.0,0.004,0.1,0.2,0.15,1.0,4.248874887488749,50.5605103782238,55.06856667838935,53.969452475307584,54.715528361986365,0.0008715237033598555,-0.00012211974615006598,0.0009177951791627119,50.56050931488511,50.56138190192716,58.62785722114298,58.62665460432502,109.18803650625219,46.30670494659182,18.584735697963083,100.0,0.08,0.6,0.27,1.0,0.0008715237033598555,1.7237241017551458e-5,1.7237241017551458e-5,-0.00012211974615006598,false,0.0
5,1.0,5,0.02,0.02,0.0,0.005,0.1,0.2,0.15,1.0,4.253075307530753,50.02742992305627,54.69490159383435,53.6264615801688,54.324072986858845,0.00036160117976891115,-0.00017717316149974474,0.0009085316308539295,50.02743017008197,50.02779152423604,58.69441734102543,58.69471215864354,108.72250368287958,46.014201135540866,17.45470922524848,100.0,0.08,0.6,0.27,1.0,0.00036160117976891115,7.2280582937213634e-6,7.2280582937213634e-6,-0.00017717316149974474,false,0.0
6,1.0,6,0.02,0.02,0.0,0.001,0.2,0.2,0.15,1.0,4.0850585058505855,50.386811330183804,54.62218523832456,53.102486645675484,53.9683065963652,0.0018142639321112597,-0.00016720055322287961,0.0009228117405091391,50.38675559415535,50.388625594115915,59.53971205717062,59.54045951641345,109.92908511052937,45.837391936312514,20.013727153166183,100.0,0.08,0.6,0.27,1.0,0.0018142639321112597,3.600672247788063e-5,3.600672247788063e-5,-0.00016720055322287961,false,0.0
7,1.0,7,0.02,0.02,0.0,0.0025,0.2,0.2,0.15,1.0,4.0861086108610865,49.49377589822867,53.95006773115467,52.495845083351995,53.28630160088036,0.0013974973568551263,-0.0002235329763646566,0.0009113505858175151,49.4937191835539,49.495173395585525,59.75292717291677,59.75279243227462,109.24796582786014,45.30535010013284,18.31105351632234,100.0,0.08,0.6,0.27,1.0,0.0013974973568551263,2.823582019138575e-5,2.823582019138575e-5,-0.0002235329763646566,false,0.0
8,1.0,8,0.02,0.02,0.0,0.003,0.2,0.2,0.15,1.0,4.084008400840084,49.17510867705507,53.70094297160254,52.26877686697624,53.034230240143955,0.0012037787349186146,-0.00022882337874687969,0.0009083948567044531,49.17504915204888,49.17631245578999,59.84677903579482,59.84676770145206,109.02308015724205,45.10633196646423,17.753690440885748,100.0,0.08,0.6,0.27,1.0,0.0012037787349186146,2.4479432121322256e-5,2.4479432121322256e-5,-0.00022882337874687969,false,0.0
9,1.0,9,0.02,0.02,0.0,0.004,0.2,0.2,0.15,1.0,4.078757875787579,48.534817673801456,53.19533934038375,51.807073706296016,52.52329232450107,0.0008915488618939094,-0.00031781102438634357,0.0008981221744485364,48.53478149829613,48.53570922266335,60.042220474127866,60.04172241059048,108.57743163325384,44.70147110000196,16.66676350474663,100.0,0.08,0.6,0.27,1.0,0.0008915488618939094,1.836926364668631e-5,1.836926364668631e-5,-0.00031781102438634357,false,0.0
10,1.0,10,0.02,0.02,0.0,0.005,0.2,0.2,0.15,1.0,4.072457245724572,47.895675499041296,52.68623555259059,51.34076338283836,52.00883275578105,0.000644101398869168,-0.00018109772790791758,0.0008461347314112674,47.895660414470434,47.896319600440165,60.24090619086476,60.24263316021301,108.13895276065318,44.29145869985477,15.620686865571077,100.0,0.08,0.6,0.27,1.0,0.000644101398869168,1.3448007406891268e-5,1.3448007406891268e-5,-0.00018109772790791758,false,0.0
11,1.0,11,0.02,0.02,0.0,0.001,0.3,0.2,0.15,1.0,3.9884488448844886,49.25202053298932,53.528647982370714,51.910964933311696,52.7558890996105,-0.00046968997704510684,-0.00030060583450950654,0.0009122492572372129,49.25226090233312,49.251550843012275,60.33736681047941,60.335672432249694,109.58722327526198,44.94278563779454,18.89165764574281,100.0,0.08,0.6,0.27,1.0,0.00046968997704510684,-9.536461082454586e-6,9.536461082454586e-6,-0.00030060583450950654,false,0.0
12,1.0,12,0.02,0.02,0.0,0.0025,0.3,0.2,0.15,1.0,3.982148214821482,48.26778222496597,52.74105922674819,51.198116732327236,51.96816359905903,2.7336507677944155e-5,-0.00021357107115924865,0.0008546634217381669,48.2681060440738,48.26780956147365,60.66448249030872,60.66399249751932,108.93180205899296,44.31011756817701,17.265462728872215,100.0,0.08,0.6,0.27,1.0,2.7336507677944155e-5,5.66351019620799e-7,5.66351019620799e-7,-0.00021357107115924865,false,0.0
13,1.0,13,0.02,0.02,0.0,0.003,0.3,0.2,0.15,1.0,3.977947794779478,47.92212264662148,52.456852082583474,50.93887638512641,51.68422211526482,0.0002002495124457937,-0.00021121982284585882,0.0008526948548199924,47.922501298751435,47.92232289613393,60.79320970259623,60.792837074168105,108.71515997030204,44.080625838406505,16.73492454918857,100.0,0.08,0.6,0.27,1.0,0.0002002495124457937,4.178644462859813e-6,4.178644462859813e-6,-0.00021121982284585882,false,0.0
14,1.0,14,0.02,0.02,0.0,0.004,0.3,0.2,0.15,1.0,3.9663966396639663,47.20400329380779,51.85452643990626,50.38703318331884,51.083455723097444,0.000612961261388989,-0.00033074978759483617,0.0008422087715034323,47.204521532520666,47.204616255069176,61.0817964025192,61.080877608393486,108.28549386346266,43.592742269421194,15.693595302748786,100.0,0.08,0.6,0.27,1.0,0.000612961261388989,1.2985366041388213e-5,1.2985366041388213e-5,-0.00033074978759483617,false,0.0
